Username,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,score_12_12,rank_12_12
august h,Anora, Wicked, The Brutalist, Challengers, A Real Pain, Venom: The Last Dance, A Different Man, I Saw the TV Glow,2178.0,2.0
TroyMyers,Wicked, Will & Harper, A Real Pain, The Brutalist, Moana 2, Venom: The Last Dance, Smile 2, Megalopolis,1984.0,26.0
Pcoff,Smile 2, Moana 2, Wicked, Venom: The Last Dance, The Life of Chuck, Anora, Heretic, Nutcrackers,1938.0,43.0
CamMcG,Moana 2, Wicked, Didi, The Brutalist, A Different Man, The Apprentice, A Real Pain, The Substance,2121.0,5.0
Box Office Dementus,Smile 2, Heretic, Red One, Moana 2, A Complete Unknown, Venom: The Last Dance, Sonic the Hedgehog 3, Wicked,1810.0,163.0
Piratey Goodness,Venom: The Last Dance, Moana 2, Joker: Folie a Deux, The Order, Wicked, The Apprentice, Red One, Smile 2,1735.0,308.0
Redbeard,Moana 2, Babygirl, Wicked, Saturday Night, Venom: The Last Dance, Red One, A Real Pain, Juror #2,1815.0,155.0
Tim B,Venom: The Last Dance, Moana 2, Joker: Folie a Deux, Wicked, Red One, Smile 2, Wallace & Gromit: Vengeance Most Fowl, The Fire Inside,1726.0,324.0
Same13,Venom: The Last Dance, Moana 2, Super/Man: The Christopher Reeve Story, Wicked, A Different Man, The Brutalist, Didi, Saturday Night,1894.0,77.0
Illinimark,Joker: Folie a Deux, Venom: The Last Dance, Wicked, Moana 2, Smile 2, Red One, My Old Ass," ""The Lord of the Rings: The War of the Rohirrim
""",1721.0,331.0
Vespertillio,Moana 2, Sonic the Hedgehog 3, Wicked, Venom: The Last Dance, Thelma, A Different Man, A Real Pain, Babygirl,1796.0,186.0
A Real Wicked Conclave,Anora, Conclave, Wicked, A Real Pain, I Saw the TV Glow, The Brutalist, I'm Still Here, All We Imagine As Light,2184.0,1.0
tBone,Anora, Wicked, A Complete Unknown, The Brutalist, Venom: The Last Dance, Saturday Night, Smile 2, All We Imagine As Light,2004.0,19.0
MEGALOPOLIS THE ULTIMATE IMAX EXPERIENCE by Greg,The Seed of the Sacred Fig, Anora, Wicked, Stress Positions, The Friend, My Old Ass, Moana 2, Venom: The Last Dance,1863.0,96.0
I Am Job,Moana 2, Wicked, Venom: The Last Dance, Anora, Megalopolis, Piece by Piece, Heretic, Brothers,1859.0,98.0
Mikes Hard Truths,Anora, Nickel Boys, Wicked, I Saw the TV Glow, Venom: The Last Dance, Bird, A Real Pain, All We Imagine As Light,1963.0,34.0
Punk Platypus,Juror #2, Wicked, Venom: The Last Dance, Moana 2, Super/Man: The Christopher Reeve Story, Nightbitch, Smile 2, The Brutalist,1823.0,138.0
Whynot,Moana 2, Wicked, I'm Still Here, The Room Next Door, The Brutalist, A Real Pain, Hard Truths, Red One,1937.0,46.0
Syrupman,Moana 2, Wicked, Red One, Saturday Night, The Apprentice, Anora, Smile 2, Y2K,1872.0,89.0
Colinopolis,Moana 2, Conclave, Venom: The Last Dance, Wicked, September 5, Transformers One, Daughters, The Substance,1955.0,38.0
Nickrophiliac,Anora, Wicked, Sonic the Hedgehog 3, Smile 2, The Brutalist, Heretic, Venom: The Last Dance, A Real Pain,1998.0,22.0
Allworkandlowpay,Megalopolis, Moana 2, Joker: Folie a Deux, Venom: The Last Dance, Wicked, Heretic, Red One, The Apprentice,1719.0,336.0
Josiah,Joker: Folie a Deux, Kraven the Hunter, Venom: The Last Dance, Red One, Moana 2, Wicked, Heretic, The Apprentice,1719.0,336.0
sstatham,Moana 2, Wicked, Sonic the Hedgehog 3, Venom: The Last Dance, Smile 2, Red One, The Order, A Complete Unknown,1733.0,310.0
Elizapot,Anora, Venom: The Last Dance, All We Imagine As Light, Smile 2, Moana 2, The Brutalist, A Real Pain, Flow,1842.0,118.0
Matts68mustang,Joker: Folie a Deux, Wicked, Venom: The Last Dance, Red One, Smile 2, Moana 2, Deadpool & Wolverine, Megalopolis,1681.0,462.0
EGOT Hopeful,Venom: The Last Dance, Anora, Wicked, Megalopolis, Heretic, Moana 2, Speak No Evil, Nutcrackers,1845.0,111.0
MarkNH,Moana 2, Wicked, Venom: The Last Dance, Heretic, Brothers, Woman of the Hour, Anora, Kraven the Hunter,1845.0,111.0
TriStarRunner,Wicked, A Real Pain, Moana 2, The Substance, Oh Canada, Heretic, All We Imagine As Light, Emilia Perez,2024.0,13.0
markybaby,Anora, Moana 2, Wicked, Kraven the Hunter, Red One, Smile 2, Kinds of Kindness, Heretic,1864.0,94.0
Better Things Hive,A Complete Unknown, The Brutalist, A Real Pain, Anora, Wicked, The Substance, The Apprentice, I Saw the TV Glow,2163.0,3.0
Ashleigh,Moana 2, Wicked, The Wild Robot, Venom: The Last Dance, Smile 2, The Outrun, We Live in Time, Red One,1693.0,421.0
Michael Mannsplainer,Wicked, The Seed of the Sacred Fig, Conclave, Challengers, Venom: The Last Dance, The Substance, Anora, The Apprentice,2056.0,10.0
Cinebon,Wicked, Venom: The Last Dance, Juror #2, The Brutalist, Moana 2, September 5, Heretic," ""The Lord of the Rings: The War of the Rohirrim
""",1842.0,118.0
Chris Wickell,Moana 2, Joker: Folie a Deux, Wicked," ""The Lord of the Rings: The War of the Rohirrim
""", Heretic, Smile 2, Venom: The Last Dance, The Apprentice,1687.0,442.0
SJames2001,Moana 2, Conclave, Wicked, Venom: The Last Dance, Nosferatu, Smile 2, Super/Man: The Christopher Reeve Story, Will & Harper,1818.0,151.0
chrisyearing,Anora, The Brutalist, A Real Pain, Wicked, Smile 2, Red One, The Seed of the Sacred Fig, A Complete Unknown,2017.0,14.0
Luca Guadagninos Windstorm,Kneecap, Saturday Night, Anora, A Real Pain, Smile 2, Wicked, Moana 2, Mothers' Instinct,1887.0,83.0
cbritter20,Wicked, Sonic the Hedgehog 3, Smile 2, The Life of Chuck, Red One, Moana 2, Anora, The Last Showgirl,1822.0,141.0
Pwhit,The Brutalist, Anora, Babygirl, Venom: The Last Dance, Smile 2, Wicked, Alien: Romulus, Challengers,1905.0,71.0
cjpicard99,Wicked, Saturday Night, Venom: The Last Dance, Anora, The Substance, The Brutalist, Smile 2, The Seed of the Sacred Fig,1999.0,21.0
Shanti,Moana 2, Joker: Folie a Deux, Wicked, Red One," ""The Lord of the Rings: The War of the Rohirrim
""", Will & Harper, Heretic, Venom: The Last Dance,1670.0,500.0
TomO,Wicked, Queer, Babygirl, Moana 2, Venom: The Last Dance, Heretic, Furiosa: A Mad Max Saga, Smile 2,1705.0,375.0
HeyRatty,The Brutalist, Saturday Night, Heretic, Wicked, Red One, Venom: The Last Dance, Anora, September 5,1938.0,43.0
mwachowiak,Moana 2, Wicked, The Brutalist, Babygirl, The Room Next Door, Smile 2, I Saw the TV Glow, His Three Daughters,1819.0,147.0
Kathleene7,Moana 2, Wicked, The Wild Robot, Venom: The Last Dance, Smile 2, Alien: Romulus, Lee, A Complete Unknown,1695.0,410.0
AlfieBoheme,Moana 2, Wicked, Anora, Challengers, Smile 2, Trap, The Apprentice, Madame Web,1831.0,127.0
Scotty D,The Wild Robot, Venom: The Last Dance, Smile 2, Moana 2, Wicked, Sonic the Hedgehog 3, Red One, Kraven the Hunter,1653.0,546.0
Venomemiors of a Symbiote,Conclave, Wicked, Super/Man: The Christopher Reeve Story, His Three Daughters, Anora, The Brutalist, Venom: The Last Dance, Memoir of a Snail,2012.0,15.0
kcmd,Moana 2, Wicked, Red One, Venom: The Last Dance, Joker: Folie a Deux, Heretic, Spellbound, Nutcrackers,1650.0,558.0
SharksBB,Moana 2, Wicked, Venom: The Last Dance, Red One, Joker: Folie a Deux, Heretic," ""The Lord of the Rings: The War of the Rohirrim
""", The Life of Chuck,1650.0,558.0
disc0kr0ger,Anora, The Brutalist, The Seed of the Sacred Fig, Venom: The Last Dance, A Complete Unknown, Wicked, The Room Next Door, All We Imagine As Light,1937.0,46.0
MaxMarte,Anora, Red One, Wicked, Moana 2, Sonic the Hedgehog 3, Smile 2, Y2K, Piece by Piece,1783.0,214.0
Ashleyin1drland,Joker: Folie a Deux, Moana 2, Wicked, Sonic the Hedgehog 3, Red One, Alien: Romulus, Venom: The Last Dance, The Best Christmas Pageant Ever,1612.0,703.0
probablygem,Anora, Wicked, Moana 2, Furiosa: A Mad Max Saga, The Last Showgirl, The Substance, The Apprentice, Megalopolis,1918.0,62.0
Raxhel,Wicked, Inside Out 2, Moana 2, Challengers, Saturday Night, Venom: The Last Dance, Y2K, Red One,1676.0,483.0
Pumpkin Monkey,Flow, A Complete Unknown, Wicked, The Brutalist, Red One, A Real Pain, No Other Land, Anora,2004.0,19.0
mlw23,Wicked, Sonic the Hedgehog 3, Red One, Moana 2, Venom: The Last Dance, Nosferatu, Smile 2, Nightbitch,1643.0,580.0
Barry Lyndon,Moana 2, Venom: The Last Dance, Sonic the Hedgehog 3, Smile 2, Saturday Night, The Room Next Door, Red One, Wicked,1632.0,626.0
DanHansen,Moana 2, Joker: Folie a Deux, Wicked, The Brutalist, Smile 2," ""The Lord of the Rings: The War of the Rohirrim
""", The Best Christmas Pageant Ever, All We Imagine As Light,1781.0,217.0
cjlefty,Moana 2, The Brutalist, Wicked, The Room Next Door, Deadpool & Wolverine, The Piano Lesson, Venom: The Last Dance, Dogman,1760.0,255.0
MattStein,No Other Land, The Brutalist, Babygirl, Challengers, Anora, Wicked, A Real Pain, The Substance,2079.0,6.0
Kevin Costners Liquidation Sale   An American Saga,Anora, A Complete Unknown, Wicked, The Brutalist, Love Lies Bleeding, The Beast, Venom: The Last Dance, Challengers,1927.0,53.0
Mike Joyce,The Last Showgirl, Moana 2, Wicked, Sonic the Hedgehog 3, Joker: Folie a Deux, Red One, Brothers, Venom: The Last Dance,1623.0,643.0
Jordan Adler,Anora, Wicked, A Complete Unknown, The Brutalist, Babygirl, Venom: The Last Dance, Flow, Sugarcane,1922.0,58.0
jaywfisher,Moana 2, Joker: Folie a Deux, Wicked, Smile 2, Venom: The Last Dance, Heretic, Y2K, Nosferatu,1650.0,558.0
FilmWillems,Moana 2, Challengers, Heretic, Smile 2, Wicked, Sonic the Hedgehog 3, Venom: The Last Dance, Nosferatu,1685.0,447.0
RichardFury,Moana 2, Red One, Wicked, Y2K, We Live in Time, Sonic the Hedgehog 3, Venom: The Last Dance, A Complete Unknown,1661.0,526.0
PostmasterFlex,The Life of Chuck, The Substance, Anora, A Real Pain, Conclave, Between the Temples, Wicked, The Brutalist,2161.0,4.0
Sugar Snack Studios,Moana 2, Wicked, A Complete Unknown, Sonic the Hedgehog 3, Venom: The Last Dance, Saturday Night, Red One, The Life of Chuck,1669.0,504.0
Minde15,Moana 2, Wicked, Sonic the Hedgehog 3," ""The Lord of the Rings: The War of the Rohirrim
""", Inside Out 2, Venom: The Last Dance, Red One, Smile 2,1613.0,697.0
taylorjaywilson,Wicked, Inside Out 2, Moana 2, Sonic the Hedgehog 3, Red One, Smile 2, Venom: The Last Dance," ""The Lord of the Rings: The War of the Rohirrim
""",1613.0,697.0
NeckL,Moana 2, Wicked, Anora, Nosferatu, The Apprentice, His Three Daughters, Smile 2, Babes,1801.0,182.0
Dex,Moana 2, Joker: Folie a Deux, The American Society of Magical Negroes, Wicked, Venom: The Last Dance, Deadpool & Wolverine, My Old Ass, Smile 2,1616.0,679.0
Notslar,Moana 2, Wicked, Venom: The Last Dance, Red One, Babygirl, Queer, Kneecap, Bird,1640.0,591.0
MomoSJ,Moana 2, Babygirl, Wicked, The Room Next Door, Nickel Boys, All We Imagine As Light, The Apprentice, The Substance,1840.0,121.0
Eamonn,Wicked, The Brutalist, September 5, Venom: The Last Dance, Juror #2," ""The Lord of the Rings: The War of the Rohirrim
""", Anora, A Real Pain,1918.0,62.0
Monstro Elisabeth Shue,The Brutalist, Hard Truths, A Real Pain, Babygirl, Anora, The Substance, The Apprentice, Wicked,2058.0,8.0
Lisan alex Gaib,The Brutalist, Anora, Wicked, A Complete Unknown, Oh Canada, Sugarcane, Challengers, Venom: The Last Dance,1907.0,70.0
chunkstyle,The Apprentice, Red One, Moana 2, The Wild Robot, Challengers, Wicked, The Friend, A Real Pain,1741.0,291.0
Johnny Detroit,Anora, Conclave, Wicked, Venom: The Last Dance, A Real Pain, Wallace & Gromit: Vengeance Most Fowl, Heretic, The End,1920.0,59.0
Steck45,Moana 2, Sonic the Hedgehog 3, Venom: The Last Dance," ""The Lord of the Rings: The War of the Rohirrim
""", Red One, Wicked, The Order, A Complete Unknown,1640.0,591.0
Kelly,Civil War, Moana 2, Joker: Folie a Deux, Wicked, Nightbitch, The Life of Chuck, The Substance, Venom: The Last Dance,1693.0,421.0
Jason F,Anora, Moana 2, Wicked, Babygirl, Smile 2, The Best Christmas Pageant Ever," ""The Lord of the Rings: The War of the Rohirrim
""", Oh Canada,1761.0,254.0
NextHead,Moana 2, Joker: Folie a Deux, Venom: The Last Dance, Wicked, Sonic the Hedgehog 3, Y2K, Red One, Piece by Piece,1584.0,808.0
nedconnell,Anora, Joker: Folie a Deux, Wicked, The Brutalist, Venom: The Last Dance, The Life of Chuck, Smile 2, Memoir of a Snail,1813.0,159.0
joncozart,The Brutalist, I Am Celine Dion, Anora, Wicked, Will & Harper, Moana 2, Transformers One, Kneecap,1884.0,84.0
Nsane1,Wicked, Moana 2, Joker: Folie a Deux, Sonic the Hedgehog 3, Without Blood, Venom: The Last Dance, Piece by Piece, Red One,1582.0,814.0
Fagre,Challengers, The Brutalist, Moana 2, The End, The Substance, Will & Harper, Wicked, Babygirl,1881.0,85.0
Reichardt With a Vengeance,The Brutalist, Nickel Boys, Hard Truths, The Substance, Anora, Wicked, The Seed of the Sacred Fig, All We Imagine As Light,2063.0,7.0
Leonard Washington,Moana 2, Mufasa: The Lion King, Wicked, Venom: The Last Dance, Smile 2, Red One," ""The Lord of the Rings: The War of the Rohirrim
""", Kraven the Hunter,1603.0,735.0
cieje,Joker: Folie a Deux, Venom: The Last Dance, Kraven the Hunter, Red One, Nosferatu, Wicked, Moana 2, Brothers,1598.0,755.0
rainycitydisco,Eden, Saturday Night, Moana 2, Wicked, Christmas Eve in Miller's Point, The Brutalist, Here, Venom: The Last Dance,1716.0,343.0
nathaniel,Venom: The Last Dance, A Real Pain, The Brutalist, Red One, Conclave, Sonic the Hedgehog 3, Wicked, The Room Next Door,1865.0,92.0
poobrain,Moana 2, Wicked, Queer, Venom: The Last Dance, Wallace & Gromit: Vengeance Most Fowl, Nosferatu, Heretic, Smile 2,1650.0,558.0
MachoMan,Wicked, Queer, Venom: The Last Dance, Wallace & Gromit: Vengeance Most Fowl, Smile 2, Nosferatu, Moana 2, Heretic,1650.0,558.0
The Nightbitch Cometh,Anora, Conclave, The Brutalist, I Saw the TV Glow, Wicked, Nosferatu, Red One, Sugarcane,1998.0,22.0
MRotter,Moana 2, The Brutalist, Wicked, Blink Twice, A Complete Unknown, Megalopolis, Heretic, The Substance,1898.0,76.0
Rain Man of Steel,Anora, Wicked, The Brutalist, September 5, Venom: The Last Dance, Hard Truths, Saturday Night, No Other Land,1881.0,85.0
Activate My Old Ass Darling,Anora, Wicked, Nickel Boys, The Brutalist, All We Imagine As Light, Nosferatu, Smile 2, A Different Man,1956.0,37.0
Burger Taste,Moana 2, Wicked, Queer, Challengers, The Piano Lesson, His Three Daughters, The Substance, I Saw the TV Glow,1781.0,217.0
Truffleteaser,The Piano Lesson, Challengers, Anora, Juror #2, Wicked, The Brutalist, A Real Pain, Red One,1924.0,56.0
Uncle B,Moana 2, Conclave, Wicked, Venom: The Last Dance, Wallace & Gromit: Vengeance Most Fowl, Alien: Romulus, Bird, Juror #2,1705.0,375.0
ritam,The Wild Robot, The Apprentice, Challengers, Small Things Like These, Venom: The Last Dance, Wicked, Moana 2, Twisters,1640.0,591.0
JLo,Moana 2, Anora, Wicked, The Room Next Door, Will & Harper, The Seed of the Sacred Fig, The Substance, Super/Man: The Christopher Reeve Story,1859.0,98.0
Jc45,Moana 2, Joker: Folie a Deux, Wicked, Sonic the Hedgehog 3, Venom: The Last Dance, Red One, Elton John: Never Too Late, Woman of the Hour,1568.0,883.0
Halfloaf1,Moana 2, Nutcrackers, Wicked, Venom: The Last Dance, Christmas Eve in Miller's Point, Eden, Red One, Joker: Folie a Deux,1568.0,883.0
Trumovirdaze,Wicked, Moana 2, Joker: Folie a Deux, The Substance, Megalopolis, Twisters," ""The Lord of the Rings: The War of the Rohirrim
""", Venom: The Last Dance,1673.0,488.0
Digger88,Joker: Folie a Deux, Wicked, Kraven the Hunter, Venom: The Last Dance, Red One, Moana 2," ""The Lord of the Rings: The War of the Rohirrim
""", Nutcrackers,1568.0,883.0
Gray Ham,Wicked, The Substance, Moana 2, Sonic the Hedgehog 3, The Apprentice, The Life of Chuck, Anora, Memoir of a Snail,1853.0,105.0
Gladiator 2 is Roman Training Day,Moana 2, A Different Man, Will & Harper, His Three Daughters, Kinds of Kindness, Emilia Perez, Red One, Wicked,1746.0,278.0
The Conversationalist,Wicked, Anora, A Real Pain, The Brutalist, Babygirl, September 5, Hard Truths, All We Imagine As Light,1964.0,32.0
Max,We Live in Time, Smile 2, The Last Showgirl, Wicked, Moana 2, The Brutalist, A Complete Unknown, The Beast,1773.0,232.0
MrWilson,Moana 2, Sonic the Hedgehog 3, Wicked, Venom: The Last Dance, The Piano Lesson," ""The Lord of the Rings: The War of the Rohirrim
""", A Real Pain, Will & Harper,1641.0,585.0
Menu Turistico,Joker: Folie a Deux, Wicked, Moana 2, Heretic, Hard Truths, Hit Man, I Saw the TV Glow, The Substance,1756.0,263.0
No One Mourns the Garys,Anora, Wicked, The Brutalist, A Real Pain, Babygirl, The Piano Lesson, Hard Truths, All We Imagine As Light,1939.0,41.0
Veraciouschunk,Moana 2, Wicked, Nosferatu, Didi, Beetlejuice Beetlejuice, Venom: The Last Dance, Saturday Night, I Saw the TV Glow,1634.0,618.0
Buck Would Have Never,A Complete Unknown, The Brutalist, Juror #2, Wicked, Smile 2, Anora, His Three Daughters, A Real Pain,1927.0,53.0
tartarsaucy,Moana 2, Sing Sing, Wicked, Sonic the Hedgehog 3, Red One, The Best Christmas Pageant Ever, Super/Man: The Christopher Reeve Story, Smile 2,1663.0,520.0
Luna,Beetlejuice Beetlejuice, Wicked, Moana 2, Venom: The Last Dance, Didi, Deadpool & Wolverine, I Saw the TV Glow, Juror #2,1605.0,725.0
Skyruss95,Moana 2, The Brutalist, Anora, Venom: The Last Dance, Smile 2, Saturday Night, Red One, Alien: Romulus,1625.0,640.0
Soy Muttonista,Moana 2, Sonic the Hedgehog 3, Piece by Piece, Nosferatu, The Return, Venom: The Last Dance, The Brutalist, Wicked,1709.0,363.0
Ndn2525,Anora, Wicked, The Brutalist, Venom: The Last Dance, Here, Nosferatu, We Live in Time, Red One,1813.0,159.0
Schmear Hunter,Venom: The Last Dance, Conclave, The Wild Robot, The Brutalist, Wicked, Nosferatu, Smile 2, The Substance,1927.0,53.0
joegoldstein,Wicked, The Wild Robot, Venom: The Last Dance, Oh Canada, I Saw the TV Glow, We Live in Time, Saturday Night, Moana 2,1613.0,697.0
Bochivious,Moana 2, Wicked, Monkey Man, Challengers, Venom: The Last Dance, Smile 2, Sonic the Hedgehog 3, Juror #2,1588.0,795.0
Kathy833,Anora, Venom: The Last Dance, Wicked, Emilia Perez, Challengers, Civil War, Kneecap, The Substance,1917.0,65.0
Sweetbaline,Babygirl, We Live in Time, Smile 2, Y2K, Anora, Conclave, Wicked, Venom: The Last Dance,1806.0,170.0
A Complete Known 2,Wicked, The Room Next Door, His Three Daughters, Anora, Moana 2, Heretic, The Last Showgirl, Small Things Like These,1767.0,239.0
Thisistombtw,Kneecap, Venom: The Last Dance, Moana 2, Wicked, A Real Pain, Sonic the Hedgehog 3, The Wild Robot, Oh Canada,1646.0,568.0
Jlindz,Wicked, Moana 2, The Brutalist, Smile 2, Nosferatu, Relay, A Real Pain, Sonic the Hedgehog 3,1780.0,220.0
Minions Folie a Gru,Moana 2, Joker: Folie a Deux, Sonic the Hedgehog 3, Venom: The Last Dance, Smile 2, Piece by Piece, Brothers, Wicked,1550.0,992.0
stephc,Anora, The Seed of the Sacred Fig, Venom: The Last Dance, Memoir of a Snail, Wicked, Emilia Perez, Babygirl, All We Imagine As Light,1822.0,141.0
Grandenchilada,The Brutalist, The Life of Chuck," ""The Lord of the Rings: The War of the Rohirrim
""", Moana 2, Wicked, A Complete Unknown, A Real Pain, Back in Action ,1807.0,167.0
Demi Moores Dollhouse,Anora, I Saw the TV Glow, Emilia Perez, Wicked, Babygirl, His Three Daughters, The Substance, Smile 2,1926.0,55.0
BigR,Oh Canada, Moana 2, Wicked, Nosferatu, Hard Truths, The Seed of the Sacred Fig, The Brutalist, A Real Pain,1817.0,153.0
Alex McLevy,Moana 2, Joker: Folie a Deux, Kraven the Hunter, The Life of Chuck, Smile 2, Wicked, Venom: The Last Dance, Bird,1546.0,1015.0
Remyrems,Moana 2, The Substance, Wicked, The Brutalist, Babygirl, The Last Showgirl, The Room Next Door, Juror #2,1831.0,127.0
Berry,The Life of Chuck, Venom: The Last Dance, Moana 2, Wicked, Nosferatu, Megalopolis, Smile 2, Joker: Folie a Deux,1566.0,894.0
PiousPinkus,A Different Man, Moana 2, Babygirl, Monkey Man, Anora, Shirley, I Am Celine Dion, Wicked,1744.0,282.0
troyboltonluvr,Anora, Challengers, Will & Harper, Wicked, Evil Does Not Exist, Moana 2, No Other Land," ""The Lord of the Rings: The War of the Rohirrim
""",1759.0,257.0
Andcobb,Moana 2, Wicked, The Brutalist, Sonic the Hedgehog 3, Nosferatu, Megalopolis, Y2K, Venom: The Last Dance,1697.0,404.0
phkendra,Moana 2, Mufasa: The Lion King, Heretic, Wicked, Smile 2, Red One, Woman of the Hour, A Real Pain,1677.0,481.0
JimiK,Nutcrackers, The Life of Chuck, Smile 2, Moana 2, Anora, Wicked," ""The Lord of the Rings: The War of the Rohirrim
""", Babygirl,1717.0,340.0
Tony,Anora, The Brutalist, The Substance, We Live in Time, Wicked, Saturday Night, Smile 2, A Real Pain,1975.0,28.0
nathanfielder,Y2K, Wicked, Beetlejuice Beetlejuice, I Saw the TV Glow, Love Lies Bleeding, Megalopolis, Moana 2, Anora,1736.0,306.0
marycchayden,Moana 2, Wicked, Challengers, His Three Daughters, The Last Showgirl, My Old Ass, The Brutalist, The Room Next Door,1766.0,243.0
SPamela Jones,Moana 2, Will & Harper, Wicked, The Brutalist, His Three Daughters, The Room Next Door, September 5, The Substance,1846.0,110.0
kimwexler,Moana 2, Wicked, Sonic the Hedgehog 3, Saturday Night, Smile 2, Wallace & Gromit: Vengeance Most Fowl, The Apprentice, Venom: The Last Dance,1576.0,837.0
Tfioret,Wicked, The Wild Robot, Megalopolis, Moana 2, Red One, Sonic the Hedgehog 3, Juror #2, Venom: The Last Dance,1575.0,844.0
The Eighth Samurai II,Moana 2, Conclave, Wicked, Juror #2, Challengers, Furiosa: A Mad Max Saga, Thelma, Smile 2,1744.0,282.0
turnupthestrobe,Nickel Boys, Wicked, Red One, Venom: The Last Dance, Smile 2, Joker: Folie a Deux, A Complete Unknown, Heretic,1647.0,566.0
OGScottieT,Wicked, The Brutalist, Venom: The Last Dance, The Room Next Door, Anora, Nosferatu, The Substance, Saturday Night,1916.0,66.0
The Real Shiherlis,Anora, Wicked, Sonic the Hedgehog 3, Venom: The Last Dance, The Piano Lesson, Smile 2, The Brutalist, Will & Harper,1785.0,210.0
AriesSoul329,Emilia Perez, Wicked, Conclave, The Last Showgirl, The Brutalist, The Apprentice, All We Imagine As Light, A Real Pain,2005.0,18.0
SwimDan69,Moana 2, Deadpool & Wolverine, Wicked, Heretic, Twisters, Kinds of Kindness, The Apprentice, Anora,1750.0,267.0
ItBeRufus,Wicked, Moana 2, Sonic the Hedgehog 3, Saturday Night, Venom: The Last Dance, Nosferatu, Heretic, Smile 2,1599.0,751.0
dtbrown101,Smile 2, The Apprentice, Sonic the Hedgehog 3, Nosferatu, Venom: The Last Dance, Moana 2, Here, Wicked,1569.0,877.0
KingofCrohns,The Wild Robot, Moana 2, Heretic, Wicked, Maria, Venom: The Last Dance, Flow, The Life of Chuck,1617.0,672.0
Bones and slay,Anora, Venom: The Last Dance, The Best Christmas Pageant Ever, Piece by Piece, The Brutalist, Wicked, A Complete Unknown, Sonic the Hedgehog 3,1825.0,135.0
bspit,Anora, Conclave, Juror #2, Smile 2, Wicked, The Brutalist, Saturday Night, All We Imagine As Light,1955.0,38.0
RHonig,Anora, Wicked, Conclave, The Brutalist, The Seed of the Sacred Fig, Flow, A Real Pain, The Life of Chuck,2009.0,16.0
MrsSimonsSays,Moana 2, A Real Pain, Joker: Folie a Deux, The Brutalist, Wicked, Brothers, Poolman, Woman of the Hour,1740.0,296.0
Jarcis,Moana 2, Wicked, Deadpool & Wolverine, Inside Out 2, It Ends With Us, Red One, Venom: The Last Dance, Beetlejuice Beetlejuice,1565.0,904.0
Thudson,Moana 2, Wicked, The Brutalist, Nosferatu, The Apprentice, A Real Pain, Saturday Night, Elton John: Never Too Late,1790.0,199.0
Poloshot,Wicked, Venom: The Last Dance, Megalopolis, Saturday Night, I Saw the TV Glow, The Wild Robot, Moana 2, Hand of Dante,1589.0,792.0
hiyerr,Wicked, A Real Pain, The Brutalist, Anora, The Life of Chuck, Conclave, Heretic, Lee,2008.0,17.0
Trout trouto,Moana 2, Inside Out 2, Venom: The Last Dance, Wicked, Nosferatu, We Live in Time, Red One, Godzilla x Kong: The New Empire,1574.0,851.0
meadhbh,Anora, Conclave, The Brutalist, Wicked, Babygirl, The Substance, Flow, Kneecap,2058.0,8.0
selgio,Wicked, Challengers, Kinds of Kindness, Moana 2, Anora, The End, The Last Showgirl, I Am Celine Dion,1744.0,282.0
Streetprophet83,Moana 2, Joker: Folie a Deux, Wicked, Babygirl, Venom: The Last Dance, Will & Harper, Exhibiting Forgiveness, Better Man,1558.0,948.0
yamie,Moana 2, Nosferatu, Venom: The Last Dance, Flight Risk, Wicked, Challengers, The Apprentice, Saturday Night,1613.0,697.0
LWLWLW,Smile 2, The Substance, Anora, Your Monster, The Brutalist, Wicked, Nosferatu, Conclave,2041.0,11.0
Lungus,Sonic the Hedgehog 3, Wicked, The Wild Robot, Godzilla x Kong: The New Empire, Red One, Ultraman: Rising, Moana 2, Venom: The Last Dance,1560.0,930.0
The Joker Folie a Donuts,A Real Pain, Anora, Conclave, Will & Harper, Red One, The Substance, Sonic the Hedgehog 3, Wicked,1964.0,32.0
Thicc Morranis,Sonic the Hedgehog 3, Smile 2, Moana 2, Venom: The Last Dance, Heretic," ""The Lord of the Rings: The War of the Rohirrim
""", Saturday Night, Wicked,1569.0,877.0
clobe,Anora, The Wild Robot, Venom: The Last Dance, Smile 2, The Life of Chuck, Joker: Folie a Deux, All We Imagine As Light, Wicked,1673.0,488.0
The Mild HoBot,Babygirl, Anora, Conclave, Smile 2, Wicked, Red One, Heretic, September 5,1853.0,105.0
zumizi,Moana 2, Anora, The Brutalist, Challengers, Venom: The Last Dance, I'm Still Here, Juror #2, All We Imagine As Light,1663.0,520.0
theycallmeD,Moana 2, Wicked, Venom: The Last Dance, Piece by Piece," ""The Lord of the Rings: The War of the Rohirrim
""", The Apprentice, A Complete Unknown, Sonic the Hedgehog 3,1593.0,770.0
DamianLX,Anora, Alien: Romulus, Challengers, The Brutalist, Moana 2, The Substance, Piece by Piece, Venom: The Last Dance,1722.0,329.0
Wingeaters,The Brutalist, Red One, Saturday Night, Wicked, Moana 2, Here, September 5, Better Man,1727.0,322.0
deebnntt,Wicked, Between the Temples, Moana 2, Love Lies Bleeding, Hit Man, Anora, Nosferatu, The Apprentice,1745.0,279.0
Lizz,Wicked, Moana 2, Nosferatu, Venom: The Last Dance, Saturday Night, Sonic the Hedgehog 3, Red One, Here,1566.0,894.0
