Username,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,score_12_12,rank_12_12
PLiflander,Wicked, Beetlejuice Beetlejuice, Didi, Megalopolis, Lee, Sing Sing, Joker: Folie a Deux, The Room Next Door,1145.0,5640.0
BootlegBart,Sonic the Hedgehog 3, Anora, Mufasa: The Lion King, Venom: The Last Dance, Smile 2, The Brutalist, Babygirl, Wallace & Gromit: Vengeance Most Fowl,1135.0,5810.0
Greg the Shell With Shoes On,Wicked, Inside Out 2, Saturday Night, The Last Showgirl, Civil War, The Substance, I Saw the TV Glow, Dune: Part Two,1274.0,3784.0
Diletta,Anora, Emilia Perez, The Brutalist, The Piano Lesson, The Outrun, Challengers, Hit Man, A Different Man,1299.0,3463.0
JohnWSmith,The Brutalist, The Wild Robot, Conclave, Babygirl, Venom: The Last Dance, Mufasa: The Lion King, Heretic, Smile 2,1169.0,5265.0
SStau,A Complete Unknown, Challengers, The Wild Robot, The Room Next Door, A Real Pain, Anora, The Brutalist, Kneecap,1284.0,3659.0
Charlie Kaufman's Angels,Anora, Emilia Perez, The Brutalist, A Real Pain, His Three Daughters, The Wild Robot, The Life of Chuck, Evil Does Not Exist,1324.0,3137.0
Buddy Kee,Mufasa: The Lion King, Inside Out 2, Wicked, The Wild Robot, Venom: The Last Dance, Deadpool & Wolverine, Twisters, Beetlejuice Beetlejuice,1104.0,6324.0
DG Team,September 5, Nightbitch, Moana 2, Sonic the Hedgehog 3, Bird, Babygirl, The Piano Lesson, Venom: The Last Dance,920.0,9107.0
Daniel J,Blitz, Wicked, Monkey Man, We Live in Time, A Complete Unknown, Conclave, Babygirl," ""The Lord of the Rings: The War of the Rohirrim
""",1249.0,4128.0
ProblORLIsta,Anora, Daughters, A Real Pain, Will & Harper, The Brutalist, September 5, Nickel Boys, Babygirl,1294.0,3532.0
Travi Carr,Blitz, The Brutalist, Moana 2, We Live in Time, Red One, Hard Truths, The Seed of the Sacred Fig, The Room Next Door,1060.0,7009.0
alanakelly,Wicked, Emilia Perez, The Last Showgirl, The Wild Robot, Inside Out 2, Drive-Away Dolls, Babygirl, Saturday Night,1234.0,4330.0
Defying Gladiator,Dune: Part Two, Emilia Perez, Wicked, Saturday Night, I Saw the TV Glow, Daughters, Sugarcane, Super/Man: The Christopher Reeve Story,1269.0,3861.0
griff27,The Outrun, Moana 2, Anora, Emilia Perez, Sonic the Hedgehog 3, Ultraman: Rising, Kneecap, Evil Does Not Exist,1150.0,5548.0
hayleysue19,Anora, Emilia Perez, Conclave, The Brutalist, The Outrun, I'm Still Here, Daughters, Flow,1394.0,2334.0
Who Needs A 3rd Dimension,Anora, Emilia Perez, Conclave, The Brutalist, Sonic the Hedgehog 3, All We Imagine As Light, The Life of Chuck, Christmas Eve in Miller's Point,1383.0,2446.0
Cyrus,Challengers, Anora, Conclave, A Complete Unknown, The Life of Chuck, The Piano Lesson, The Brutalist, Nutcrackers,1333.0,3026.0
Joscar Isaac,Mufasa: The Lion King, The Life of Chuck, Wicked, Blitz, Super/Man: The Christopher Reeve Story, The Apprentice, The Brutalist, A Complete Unknown,1264.0,3935.0
TheHuttMobile,Moana 2, Mufasa: The Lion King, A Complete Unknown, The Brutalist, September 5, The Apprentice, Flow, The Life of Chuck,1140.0,5716.0
RyansMovieRecs,Moana 2, Anora, Conclave, Mufasa: The Lion King, I Am Celine Dion, Kneecap, The Black Box Diaries, The Promised Land,1199.0,4822.0
Sydney DeRose,Small Things Like These, I Am Celine Dion, Joker: Folie a Deux, Wicked, Queer, Nightbitch, Saturday Night, Conclave,1218.0,4559.0
WillMill3000,Venom: The Last Dance, Inside Out 2," ""The Lord of the Rings: The War of the Rohirrim
""", The Seed of the Sacred Fig, Anora, A Real Pain, Emilia Perez, The Life of Chuck,1163.0,5353.0
Daypool,Gladiator II, Emilia Perez, The Brutalist, A Real Pain, A Different Man, The Last Showgirl, Mothers' Instinct, The Black Box Diaries,1266.0,3897.0
Gary The Other Divine G Johnson,Emilia Perez, The Brutalist, The Room Next Door, The Seed of the Sacred Fig, Anora, A Real Pain, Saturday Night, Flow,1333.0,3026.0
Pope Emilia Perez II,Flow, Daughters, Sugarcane, Emilia Perez, Anora, The Brutalist, Conclave, The Seed of the Sacred Fig,1393.0,2345.0
benjpg,Blitz, Alien: Romulus, Gladiator II, Wicked, The Outrun, Immaculate, The Promised Land, Challengers,1146.0,5625.0
HoosiersSuck1988,The Wild Robot, Cuckoo, Drive-Away Dolls, Wicked, Here, Saturday Night, Gladiator II, Juror #2,1161.0,5379.0
Ramonas Eighth Evil Ex,Emilia Perez, Anora, The Brutalist, The Wild Robot, Hard Truths, The Life of Chuck, The Seed of the Sacred Fig, The Substance,1393.0,2345.0
Conclave of the Planet of the Apes,Anora, Emilia Perez, Conclave, The Brutalist, The Room Next Door, Flow, Sugarcane, Super/Man: The Christopher Reeve Story,1388.0,2398.0
Colombiana24,Joker: Folie a Deux, Emilia Perez, Wicked, The Fall Guy, Young Woman and the Sea, The Bikeriders, Challengers, Inside Out 2,1198.0,4835.0
Lady Gaga Oscar Campaign  An American Saga,Anora, Conclave, The Wild Robot, The Brutalist, A Real Pain, Saturday Night, Juror #2, Evil Does Not Exist,1348.0,2850.0
MellzMovies,Emilia Perez, The Brutalist, Anora, Juror #2, Nickel Boys, The Substance, Civil War, The Beast,1408.0,2196.0
Big 2ad Dib,Moana 2, Sing Sing, Blitz, The Piano Lesson, Ultraman: Rising, Smile 2, The Substance, Super/Man: The Christopher Reeve Story,1074.0,6808.0
Mageegee MuadDib,Joker: Folie a Deux, Queer, A Complete Unknown, Challengers, Civil War, We Live in Time, Wicked, Bird,1147.0,5609.0
GayWarlock,Joker: Folie a Deux, Wicked, Queer, Maria, We Live in Time, Twisters, The Substance, The Piano Lesson,1192.0,4925.0
MickeyBoy,Arthur the King, Joker: Folie a Deux, Mufasa: The Lion King, Wicked, Beetlejuice Beetlejuice, Sonic the Hedgehog 3, Venom: The Last Dance, Deadpool & Wolverine,1062.0,6992.0
Marino123,A Complete Unknown, It Ends With Us, Joker: Folie a Deux, Wicked, The Wild Robot, Challengers, We Live in Time, Megalopolis,1147.0,5609.0
Scary James McAvoy,Smile 2, Inside Out 2, The Wild Robot, Venom: The Last Dance, Moana 2, Beetlejuice Beetlejuice, Nosferatu, Speak No Evil,923.0,9057.0
vanloojj,Sing Sing, The Brutalist, Anora, Here, Super/Man: The Christopher Reeve Story, A Real Pain, The Piano Lesson, The Outrun,1257.0,4029.0
Dune NosferaTwo,Dune: Part Two, Moana 2, The Brutalist, Smile 2, Nosferatu, The Life of Chuck, Piece by Piece, All We Imagine As Light,1123.0,6002.0
Movie Mike,Blitz, Joker: Folie a Deux, Sonic the Hedgehog 3, Venom: The Last Dance, The Substance, Anora, A Different Man, Heretic,1117.0,6110.0
The BrutaLisan al Gaib,Nosferatu, Smile 2, All We Imagine As Light, The Life of Chuck, Piece by Piece, The Brutalist, Moana 2, Dune: Part Two,1123.0,6002.0
ItsGettingHawkinsHere,Wicked, Will & Harper, Maria, Babygirl, Bird, Gladiator II, Lisa Frankenstein, A Family Affair,1150.0,5548.0
DrVenkman,Gladiator II, Wicked, Didi, The Outrun, Nosferatu, Saturday Night, Problemista, Will & Harper,1180.0,5091.0
makespalseasily,The Best Christmas Pageant Ever, Gladiator II, Speak No Evil, Inside Out 2, Wicked, Beetlejuice Beetlejuice, Furiosa: A Mad Max Saga, Deadpool & Wolverine,1159.0,5412.0
Saoirse Ronans Oscar,Emilia Perez, Anora, A Real Pain, Saturday Night, The Room Next Door, The Apprentice, A Complete Unknown, All We Imagine As Light,1257.0,4029.0
2 Beetle 2 Juice,Moana 2, Joker: Folie a Deux, Sonic the Hedgehog 3, Piece by Piece, Mufasa: The Lion King, Venom: The Last Dance, Smile 2, Y2K,882.0,9692.0
bta,Anora, Sing Sing, Babygirl, Challengers, Nosferatu, Nutcrackers, Saturday Night, Venom: The Last Dance,1116.0,6128.0
danny delLeague,Nightbitch, Moana 2, Venom: The Last Dance, Sonic the Hedgehog 3," ""The Lord of the Rings: The War of the Rohirrim
""", Woman of the Hour, Emilia Perez, Here,982.0,8184.0
Josephs Oldest Brother,Anora, Joker: Folie a Deux, Wicked, Wolfs, Megalopolis, Elton John: Never Too Late, Transformers One, Mufasa: The Lion King,1206.0,4723.0
Rogerrobers,Moana 2, Joker: Folie a Deux, Smile 2, Sonic the Hedgehog 3, Nickel Boys, Heretic, The Apprentice, Kraven the Hunter,983.0,8165.0
Jenna L,Blitz, We Live in Time, Wicked, The Room Next Door, Kinds of Kindness, The Brutalist, A Complete Unknown, Here,1231.0,4369.0
Furiosa Memoriam,The Brutalist, Venom: The Last Dance, The Life of Chuck, Gladiator II, The Room Next Door, Daughters, Super/Man: The Christopher Reeve Story, Conclave,1164.0,5331.0
shondook,Wallace & Gromit: Vengeance Most Fowl, Will & Harper, The Apprentice, The Brutalist, Sonic the Hedgehog 3, Wicked, Blitz, Joker: Folie a Deux,1197.0,4850.0
Asian Gourd,Didi, Emilia Perez, A Different Man, Evil Does Not Exist, Dune: Part Two, Wicked, Small Things Like These, Frida,1271.0,3832.0
EPM,Joker: Folie a Deux, Bird, The Last Showgirl, Anora, Parthenope, Moana 2, The Room Next Door, Memoir of a Snail,1042.0,7290.0
Oops All Box Office,Moana 2, Mufasa: The Lion King, Joker: Folie a Deux, Sonic the Hedgehog 3, Venom: The Last Dance, Smile 2, Piece by Piece, Y2K,882.0,9692.0
amandaj,Joker: Folie a Deux, Nightbitch, Saturday Night, Will & Harper, The Best Christmas Pageant Ever, Nickel Boys, Wicked, Maria,1156.0,5461.0
JayVall,Conclave, The Piano Lesson, Red One, Back in Action , The Fire Inside, Venom: The Last Dance, Eden, Gladiator II,1049.0,7182.0
Caseynuge,Dune: Part Two, The Wild Robot, A Real Pain, Elton John: Never Too Late, I Saw the TV Glow, Wicked, The Life of Chuck, Sonic the Hedgehog 3,1216.0,4585.0
J McCabe,Smile 2, Nightbitch, Here, Gladiator II, Longlegs, Super/Man: The Christopher Reeve Story, The Best Christmas Pageant Ever, Moana 2,965.0,8459.0
Clarkek10,Joker: Folie a Deux, Venom: The Last Dance, Moana 2, Saturday Night, The Apprentice," ""The Lord of the Rings: The War of the Rohirrim
""", Here, Wallace & Gromit: Vengeance Most Fowl,888.0,9608.0
harlemcharlie,Dune: Part Two, His Three Daughters, I Saw the TV Glow, Inside Out 2, Janet Planet, Wicked, Challengers, Megalopolis,1190.0,4950.0
Not Norman Bates,Joker: Folie a Deux, Venom: The Last Dance, Nosferatu, The Bikeriders, The Apprentice, Megalopolis, Moana 2, Queer,912.0,9235.0
mazzda,Anora, Conclave, The Brutalist, The Wild Robot, Babygirl, Heretic, The Seed of the Sacred Fig, Thelma,1320.0,3188.0
AntiNiceGuy,Moana 2, Joker: Folie a Deux, Mufasa: The Lion King, Venom: The Last Dance," ""The Lord of the Rings: The War of the Rohirrim
""", Smile 2, The End, Deadpool & Wolverine,886.0,9634.0
NJM,Wicked, The Wild Robot, Nosferatu," ""The Lord of the Rings: The War of the Rohirrim
""", Conclave, Challengers, Maria, The Order,1265.0,3916.0
RoRo,Sing Sing, Beetlejuice Beetlejuice, Wicked, Didi, The Wild Robot, Deadpool & Wolverine, His Three Daughters, Eden,1180.0,5091.0
IceTrey89,The Life of Chuck, Gladiator II, Wicked, Joker: Folie a Deux, Trap, Kinds of Kindness, Megalopolis, Hit Man,1123.0,6002.0
brohemoth96,Alien: Romulus, Joker: Folie a Deux, Wicked, Sonic the Hedgehog 3, Gladiator II, Kinds of Kindness, One Life, The Promised Land,1103.0,6342.0
Lady Raven Flop Era,The Brutalist, Anora, Babygirl, The Life of Chuck, Heretic, Conclave, The Wild Robot, Hard Truths,1330.0,3062.0
DadJokeTim,Joker: Folie a Deux, Sing Sing, The Wild Robot, The Piano Lesson, The Apprentice, The Substance, Challengers, Venom: The Last Dance,1071.0,6845.0
FangsFurFuriosa,Blitz, Wicked, Nickel Boys, Nightbitch, Didi, Nosferatu, I Saw the TV Glow, Furiosa: A Mad Max Saga,1185.0,5014.0
Cherry Coke Zero,Emilia Perez, Nickel Boys, Conclave, The Brutalist, Babygirl, A Different Man, Flow, Sugarcane,1345.0,2882.0
Rachelesams11,Anora, Emilia Perez, Nightbitch, Venom: The Last Dance, Babygirl, Smile 2, The Life of Chuck, Nosferatu,1115.0,6148.0
Johnny Films,The Wild Robot, Mufasa: The Lion King, Anora, Y2K, Nosferatu, Wicked, Better Man, Juror #2,1265.0,3916.0
kesslerbs,Moana 2, Joker: Folie a Deux, The Apprentice, Nickel Boys, Oh Canada, Juror #2, The Best Christmas Pageant Ever, A Complete Unknown,1017.0,7649.0
First Time Long Time,Speak No Evil, I Saw the TV Glow, The Substance, Love Lies Bleeding, Trap, The Wild Robot, Dune: Part Two, Wicked,1265.0,3916.0
Audzzz,Wicked, Inside Out 2, The Brutalist, Queer, Maria, Didi, Saturday Night, Kneecap,1244.0,4187.0
coolhandluc,Conclave, A Complete Unknown, Eden, We Live in Time, Flight Risk, Red One, Moana 2, The Room Next Door,1070.0,6862.0
theADTraylor,Moana 2, Joker: Folie a Deux, Saturday Night, Conclave, Eden, Heretic, Smile 2, Y2K,1045.0,7238.0
walkertexasranger,Didi, The Room Next Door, Anora, Babygirl, The Brutalist, A Real Pain, The Substance, Will & Harper,1309.0,3346.0
LP,Wicked, Venom: The Last Dance, Dune: Part Two, Nosferatu, The Room Next Door, The Last Showgirl, Six Triple Eight, Woman of the Hour,1134.0,5827.0
Tdubbz,Gladiator II, Red One, Moana 2, Juror #2, Kraven the Hunter, Heretic," ""The Lord of the Rings: The War of the Rohirrim
""", Unstoppable,983.0,8165.0
Skull,Dune: Part Two, Wicked, Sonic the Hedgehog 3, Kinds of Kindness, Alien: Romulus, Longlegs, Venom: The Last Dance, Queer,1109.0,6250.0
The Wild Robot Dreams of Sushi,Anora, Emilia Perez, Conclave, A Real Pain, The Piano Lesson, Will & Harper, Flow, Sugarcane,1329.0,3073.0
The life of Davon,Nosferatu, Mufasa: The Lion King, My Dead Friend Zoe, Emilia Perez, Wicked, Conclave, Memoir of a Snail, Piece by Piece,1349.0,2834.0
Theres Nothing Wrong With The Midsommar Manoeuvre,Anora, Emilia Perez, The Brutalist, The Wild Robot, The Piano Lesson, The Outrun, No Other Land, All We Imagine As Light,1289.0,3597.0
nefste,Anora, A Real Pain, The Brutalist, Babygirl, The Seed of the Sacred Fig, September 5, Blitz, The Substance,1329.0,3073.0
clairekryze,Anora, A Real Pain, The Brutalist, The Room Next Door, The Apprentice, Emilia Perez, Nightbitch, Y2K,1305.0,3389.0
Snackery Anner,Gladiator II, Wicked, The Wild Robot, Will & Harper, The End, Lee, Thelma, Civil War,1157.0,5445.0
Lexicon,Wicked, Inside Out 2, Nickel Boys, The Room Next Door, Nosferatu, Heretic, Challengers, Here,1204.0,4755.0
Fitzpoopy,Inside Out 2, Nosferatu, The Bikeriders, Wicked, The Apprentice, Gladiator II, We Live in Time, Madame Web,1163.0,5353.0
Babygirl and its the same but really its ellison,Saturday Night, We Live in Time, Anora, A Real Pain, Venom: The Last Dance, Babygirl, Nosferatu, Joker: Folie a Deux,1069.0,6881.0
Mamu,Love Lies Bleeding, Moana 2, Emilia Perez, Civil War, The Wild Robot, Babygirl, Saturday Night, The Substance,1155.0,5472.0
Heavy Evy,Anora, Emilia Perez, Will & Harper, The Brutalist, A Real Pain, The Wild Robot, Woman of the Hour, Flow,1334.0,3013.0
Another Saturday Nightbitch,Saturday Night, Emilia Perez, The Wild Robot, The Brutalist, Smile 2, Heretic, Conclave, Red One,1279.0,3718.0
The Wickedly Talented Patrick Zweig,Wicked, Sonic the Hedgehog 3, The Piano Lesson, Smile 2, Will & Harper, Blitz, A Complete Unknown, Challengers,1138.0,5758.0
Nan,Anora, Moana 2, Sonic the Hedgehog 3, Piece by Piece, The Life of Chuck, Y2K, Saturday Night, Nickel Boys,1109.0,6250.0
ali wb,Moana 2, Nickel Boys, A Complete Unknown, A Different Man, Maria, Megalopolis, The Apprentice, Will & Harper,1050.0,7161.0
cperk92,A Real Pain, Anora, Emilia Perez, Nosferatu, Smile 2, Queer, Red One, The Outrun,1203.0,4771.0
The Hard Truths Next Anora,Anora, Emilia Perez, The Brutalist, Babygirl, Hard Truths, The Room Next Door, On Becoming a Guinea Fowl, I Saw the TV Glow,1278.0,3733.0
Second Round Interview With The Vampire,Moana 2, Anora, Mufasa: The Lion King, Nightbitch, Red One, Woman of the Hour, Deadpool & Wolverine, Rez Ball,1059.0,7025.0
benp46,Sing Sing, The Brutalist, Anora, Evil Does Not Exist, National Anthem, A Complete Unknown, Challengers, Furiosa: A Mad Max Saga,1273.0,3806.0
Lescooter,Nutcrackers, Moana 2, Joker: Folie a Deux, The Wild Robot, Red One, Sing Sing, Mothers' Instinct, The Black Box Diaries,984.0,8147.0
LaurNor716,Anora, The Brutalist, The Substance, Furiosa: A Mad Max Saga, Sonic the Hedgehog 3, Conclave, A Complete Unknown, Megalopolis,1403.0,2250.0
hamshoes,Conclave, The Brutalist, A Real Pain, Gladiator II, All We Imagine As Light, On Becoming a Guinea Fowl, Will & Harper, Juror #2,1266.0,3897.0
Brentith,Emilia Perez, Conclave, The Brutalist, Anora, Memoir of a Snail, Didi, Evil Does Not Exist, National Anthem,1383.0,2446.0
Untitled Zach Heltzel Project,Nickel Boys, Conclave, The Brutalist, The Piano Lesson, The Last Showgirl, Juror #2, The Beast, Anora,1338.0,2971.0
holyflipfl0p,Anora, Conclave, Will & Harper, A Quiet Place - Day 1, The Brutalist, Nickel Boys, The Life of Chuck, Challengers,1353.0,2791.0
Lilo and Bitch,Anora, Challengers, Conclave, The Brutalist, Juror #2, The Deliverance, The Life of Chuck, Nickel Boys,1348.0,2850.0
The Index Finger of Ms Emily Stone,Conclave, Moana 2, Daughters, Flow, Kneecap, Joker: Folie a Deux, The Seed of the Sacred Fig, A Complete Unknown,1089.0,6572.0
Joanna S,Anora, Conclave, The Brutalist, The Wild Robot, Babygirl, The Seed of the Sacred Fig, Daughters, All We Imagine As Light,1308.0,3360.0
Kennis,Anora, Emilia Perez, The Brutalist, Nightbitch, The Substance, The Piano Lesson, Kinds of Kindness, His Three Daughters,1353.0,2791.0
A Triumph of Style Over Substance,Anora, The Brutalist, No Other Land, I'm Still Here, Daughters, Sing Sing, Kneecap, Emilia Perez,1323.0,3150.0
Popular Daytime Drama Star Regina Lee Savage,Anora, Sing Sing, Conclave, The Brutalist, The Room Next Door, Daughters, No Other Land, The Black Box Diaries,1338.0,2971.0
BellaBellaBella,Queer, Emilia Perez, Wicked, Challengers, Hit Man, Saturday Night, We Live in Time, Juror #2,1238.0,4279.0
La La Lynn,Moana 2, Emilia Perez, The Brutalist, Maria, Heretic, The Outrun, Parthenope, Brothers,1159.0,5412.0
Monstro Elisasue For The People,Anora, Conclave, The Brutalist, The Substance, Babygirl, September 5, The Life of Chuck, Nosferatu,1408.0,2196.0
Moranimal,Gladiator II, Babygirl, A Real Pain, September 5, The Brutalist, Red One, Flow, Daughters,1161.0,5379.0
ab19,Anora, Saturday Night, I'm Still Here, The Brutalist, Hard Truths, Alien: Romulus, Conclave, A Complete Unknown,1327.0,3097.0
dahibman,Joker: Folie a Deux, Red One, Beetlejuice Beetlejuice, Eden, The Piano Lesson, Wicked, Saturday Night, The Wild Robot,1092.0,6532.0
